지점,지점명,일시,평균풍속(KT),최대풍속(KT),최대순간풍속(KT),최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최대풍속 풍향(deg),최대순간풍속 풍향(deg),최단시정현상,최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균운량(1/8),5/8이상최저운고(FT),평균이슬점온도(°C),평균상대습도(%),기사란
110,김포공항,2020-01-18,3.1,8,11,1628,1650,280,270,10,6.1,-7,1512,618,1022,1023.5,1020.6,,,,,,,,1.9,18000,-7.4,65,{연무}200-300. {박무}300-1100. {연무}1100-1300.
110,김포공항,2020-01-19,5.7,18,28,1229,1225,290,290,68,6.5,-2.8,1432,50,1019,1021.1,1017.1,0.1,,,,,,,4.4,3000,-2.4,76,{박무}800-1200. {눈}851-900. {진눈깨비}900-939. {눈}945-950. {진눈깨비}950-1011. {연무}1200-1244. {비}1224-1244. {}1224-1244. {박무}1244-1400. {연무}1400-2300. {박무}2300-2400.
110,김포공항,2020-01-20,6.5,19,27,1634,1929,270,320,10,6.7,-4.6,1321,639,1023,1028.9,1020.5,,,,,,,,2,4000,-6.5,64,{박무}0-800.
110,김포공항,2020-01-21,2.6,7,9,1719,1146,300,210,,5.4,-8.1,1535,638,1030.1,1032.7,1028.5,,,,,,,,2.1,13000,-8.8,62,
110,김포공항,2020-01-22,2.8,7,15,845,1218,340,80,,8.4,-1.9,1427,455,1025.8,1029.2,1023.1,0,,,,,,,6.3,7000,-6,58,{눈}500-504.
110,김포공항,2020-01-23,5.5,11,15,1348,1339,310,300,10,9.9,-3,1509,746,1024.5,1027.7,1022.6,,,,,,,,3.5,17000,-2.6,67,{박무}700-900. {연무}900-1400. {연무}2200-2300. {박무}2300-2400.
110,김포공항,2020-01-24,4.5,9,14,1550,1145,340,330,10,6.6,-2.9,1503,753,1030.6,1032.1,1027.6,,,,,,,,4,18000,-2.6,77,{박무}0-1100. {연무}1100-2400.
110,김포공항,2020-01-25,4,7,9,1309,1228,320,320,10,8.2,-3,1439,312,1029.9,1031.4,1027.7,,,,,,,,6.6,2500,-1.4,78,{연무}0-300. {박무}300-900. {박무}2000-2400.
110,김포공항,2020-01-26,6.3,14,23,2210,2246,90,90,10,12,-3.5,1500,755,1027.5,1029.8,1025,,,,,,,,4.5,17000,-2,65,{박무}0-1100.
110,김포공항,2020-01-27,8.8,16,25,1706,1222,50,80,,8.5,3.9,1306,2356,1021.6,1026,1018.6,0.2,,,,,,,8,2500,-2,57,{비}1707-1805. {비}1841-2400.
110,김포공항,2020-01-28,6.4,12,16,54,46,20,20,,10.8,0.7,1457,2347,1018.5,1020.1,1017.2,0,,,,,,,6.7,3000,-0.1,64,{비}0-215. {비}230-341.
110,김포공항,2020-01-29,4.6,10,14,1521,1517,320,310,,10.6,-1.3,1404,330,1016.3,1018.9,1014.3,,,,,,,,5.8,6000,-1,69,
110,김포공항,2020-01-30,3.8,11,17,1620,1629,270,260,,11.1,-2.4,1410,657,1015.1,1017.1,1013.6,,,,,,,,4.1,6000,-1.9,69,
110,김포공항,2020-01-31,4.2,12,17,1511,1426,260,240,10,8.6,-3.3,1209,2258,1019.7,1022.8,1016.8,,,,,,,,3.5,3000,-1.1,79,{연무}1100-1300. {박무}2300-2400.
110,김포공항,2020-02-01,3.8,11,16,1344,1321,300,280,5,8.7,-4.3,1403,532,1024.2,1025.9,1022.4,,,,,,,,2.6,3000,-2,77,{박무}0-300. {박무}500-1100. {연무}1100-2100. {박무}2100-2400.
110,김포공항,2020-02-02,3.9,10,16,1533,1457,300,270,10,5.6,-5.2,1433,453,1025.9,1027.7,1024.4,0,,,,,,,4.8,4000,-6.1,62,{박무}0-1000. {연무}1000-1400. {진눈깨비}2400-2400.
110,김포공항,2020-02-03,6.6,13,20,50,1219,300,290,,3.9,-6.4,1310,2338,1027.4,1029.8,1025.2,0,,,,,,,1.8,3000,-8.5,56,{진눈깨비}0-100. {눈}100-300.
110,김포공항,2020-02-04,7.3,19,26,2324,1338,330,230,68,4.7,-8.8,1356,403,1027,1029.5,1023.5,0.8,,,,,,,3.2,1500,-6.7,73,{눈}1414-1733. {박무}1506-1733. {진눈깨비}1733-1947. {박무}1800-1947. {눈}2100-2200.
110,김포공항,2020-02-05,9.5,15,24,4,17,320,330,,-3.9,-10.9,1532,2340,1032.5,1035.5,1028.4,,,,,,,,0,,-17.3,48,
110,김포공항,2020-02-06,3.5,8,16,1625,1634,290,290,,-0.2,-12.4,1547,411,1034.6,1037,1032.6,,,,,,,,1,25000,-15.5,53,
110,김포공항,2020-02-07,3.9,9,12,1619,1613,270,270,,3.2,-9.3,1531,109,1030,1032.7,1027.5,0,,,,,,,6.1,2500,-9.1,61,{눈}2053-2138. {눈}2241-2331.
110,김포공항,2020-02-08,7.6,17,25,1431,1427,320,330,5,4.8,-3.9,1521,2341,1027.9,1029.4,1026.3,0,,,,,,,2.3,3000,-7.6,59,{눈}220-251. {연무}800-1100.
110,김포공항,2020-02-09,3.8,11,18,1403,1441,280,270,,4.8,-9,1420,652,1026,1029.3,1022.5,,,,,,,,1.6,2500,-7.2,67,
110,김포공항,2020-02-10,4.1,9,15,1359,1409,350,360,10,10.3,-3.9,1510,711,1024.1,1027.7,1021.6,,,,,,,,1.1,3500,-4,64,{박무}600-1048. {연무}1048-1148.
110,김포공항,2020-02-11,3.4,9,17,1627,1634,230,230,10,14.8,-4.5,1506,537,1027.1,1029.1,1024.9,,,,,,,,2.3,11000,-4.5,58,{박무}300-1000. {연무}1000-1100.
110,김포공항,2020-02-12,3.8,9,15,1134,1128,100,110,41,8.1,4,1610,448,1017.4,1024.9,1012.5,5,,,,,,,7.9,300,4.2,87,{비}318-1840. {박무}600-1800. {안개 또는 어는안개 또는 빙무}1800-1840. {비}{8}1840-2000. {안개 또는 어는안개 또는 빙무}{8}1840-2000. {비}{9}2000-2023. {안개 또는 어는안개 또는 빙무}{9}2000-2023. {비}2023-2149. {박무}2023-2300. {안개 또는 어는안개 또는 빙무}2300-2400. {박무}2400-2400.
110,김포공항,2020-02-13,3.8,7,20,1359,1109,190,210,47,8.9,1,1215,749,1019.3,1021.9,1015.1,,,,,,,,6.8,100,4.1,91,{박무}0-300. {안개 또는 어는안개 또는 빙무}300-338. {안개 또는 어는안개 또는 빙무}{8}338-400. {안개 또는 어는안개 또는 빙무}{6}400-600. {안개 또는 어는안개 또는 빙무}{2}600-800. {안개 또는 어는안개 또는 빙무}{1}800-855. {안개 또는 어는안개 또는 빙무}{6}855-912. {안개 또는 어는안개 또는 빙무}{9}912-1000. {안개 또는 어는안개 또는 빙무}1000-1050. {박무}1050-2400.
110,김포공항,2020-02-14,3.3,8,10,1824,1604,290,280,10,14.8,1.4,1511,728,1021,1023,1019.1,,,,,,,,2.3,1200,3.8,82,{박무}0-1000. {연무}1000-1900. {박무}1900-2400.
110,김포공항,2020-02-15,5.8,14,20,1110,1111,120,140,61,15.7,0.1,1252,725,1018.1,1023,1012.6,1.5,,,,,,,4.8,2000,3.8,80,{박무}0-200. {안개 또는 어는안개 또는 빙무}200-300. {박무}300-400. {안개 또는 어는안개 또는 빙무}400-600. {박무}600-1000. {연무}1000-1400. {비}1645-1730. {박무}1722-2400. {비}1946-2400.
110,김포공항,2020-02-16,9.6,18,30,1443,1349,270,280,73,5.5,-4.3,1,2119,1013.7,1016.5,1011.8,7.1,,,,,2,2,6.8,400,-3.2,85,{박무}0-200. {비}0-300. {진눈깨비}300-318. {박무}300-1900. {눈}318-710. {눈}945-1216. {눈}{9}1216-1255. {눈}1255-1312. {눈}1321-1446. {눈}1510-1612. {눈}1627-1636. {눈}1653-1714. {눈}2334-2400.
110,김포공항,2020-02-17,9.2,13,19,333,854,280,300,71,-3,-6.7,41,2345,1018.5,1023.5,1016.1,0,,,,,0.1,0.5,5.8,2000,-9.6,71,{눈}0-137. {박무}48-200. {박무}233-500. {눈}233-830. {박무}738-830. {눈}900-1600. {눈}1823-2000. {눈}2016-2134.
110,김포공항,2020-02-18,4.3,10,14,959,938,340,300,,1.6,-8.3,1529,659,1027.7,1030,1023.5,,,,,,,,0,,-11.4,57,
110,김포공항,2020-02-19,2.8,8,11,1031,1029,120,110,10,7.2,-5.8,1656,512,1030.2,1031.3,1029.2,,,,,,,,5.4,3500,-4.7,70,{박무}2200-2400.
110,김포공항,2020-02-20,3.2,8,12,1721,1805,300,280,10,10.9,-2.9,1441,643,1033.5,1035.5,1030.9,,,,,,,,1.7,22000,-0.4,81,{박무}0-1100. {연무}1100-1800. {박무}2000-2400.
110,김포공항,2020-02-21,4.8,13,24,2102,1425,210,210,10,11.8,-1.6,1409,42,1029.7,1034.9,1022.4,6.4,,,,,,,7.5,2500,2.3,81,{박무}0-1100. {연무}1100-1500. {비}1907-2400. {박무}2000-2400.
110,김포공항,2020-02-22,12.1,23,35,1320,1406,270,260,10,8.7,-0.5,1250,2353,1024.9,1030.3,1021.8,3.4,,,,,,,3.7,2000,-0.5,71,{박무}0-200. {비}0-223. {박무}300-1253. {황사 또는 공중먼지}1000-1400. {연무}1400-1600.
110,김포공항,2020-02-23,4.2,11,23,1457,1341,230,280,,7.9,-3.9,1428,516,1029.3,1031.4,1027.4,,,,,,,,0.2,7000,-4.7,62,
110,김포공항,2020-02-24,4.2,8,15,44,1445,140,230,10,12.6,0.4,1402,416,1024.5,1027.6,1021.2,,,,,,,,5.2,2000,0.5,67,{박무}2200-2400.
110,김포공항,2020-02-25,6.2,11,19,1707,637,50,110,63,11.1,3.5,1620,2357,1018.1,1021.2,1015,14.9,,,,,,,6,2500,4.2,83,{박무}0-1142. {비}58-1142. {비}1200-1330.
110,김포공항,2020-02-26,5.5,10,15,1717,1230,280,300,,11.5,0.3,1212,344,1023.4,1026.4,1020.6,,,,,,,,3.8,4000,1.6,76,
110,김포공항,2020-02-27,3.9,11,15,1659,1651,280,290,,11.9,-1.1,1535,718,1028,1029.9,1026.3,,,,,,,,1.6,,-0.5,72,
110,김포공항,2020-02-28,3.4,8,12,1042,1038,280,270,53,6.1,1.4,1034,47,1023,1026.9,1020,2.7,,,,,,,7.7,300,2.2,88,{박무}900-2400. {비}1045-1541. {비}1632-2200. {이슬비}2200-2400. {이슬비}{9}2400-2400. {안개 또는 어는안개 또는 빙무}{9}2400-2400.
110,김포공항,2020-02-29,4.6,10,14,826,821,360,360,53,12,3.3,1603,2358,1018.6,1020,1016.6,0.3,,,,,,,2.9,300,3.8,84,{이슬비}{9}0-100. {안개 또는 어는안개 또는 빙무}{9}0-100. {이슬비}100-413. {박무}100-900. {박무}2200-2400.
110,김포공항,2020-03-01,4.3,10,21,2056,1605,290,230,41,9.4,-0.6,1300,646,1018.7,1020.4,1017.1,0.2,,,,,,,5.9,1400,2.6,88,{박무}0-300. {안개 또는 어는안개 또는 빙무}300-500. {박무}500-516. {안개 또는 어는안개 또는 빙무}516-900. {박무}900-1300. {연무}1300-2000. {박무}2000-2400. {비}2029-2400.
110,김포공항,2020-03-02,5.4,11,17,921,1046,300,330,10,7.4,-1,1500,713,1023.9,1026.5,1020.4,,,,,,,,1.5,21000,-2.7,67,{박무}0-900.
110,김포공항,2020-03-03,4.8,11,20,1615,1450,300,220,10,11.3,-1.7,1419,605,1024.3,1026.5,1021.9,,,,,,,,5.5,4000,-0.9,73,{박무}200-1000. {연무}1000-1200. {연무}1700-2000.
110,김포공항,2020-03-04,10.5,20,30,1111,1119,300,290,10,5.8,-1.5,1259,2337,1022.5,1024.9,1021,0,,,,,,,4.5,2500,-3.5,65,{박무}400-900. {연무}1100-1300. {눈}1400-1410. {눈}1550-1700. {연무}1700-1900.
110,김포공항,2020-03-05,6.1,11,17,1129,1113,340,340,,6.4,-3.2,1437,709,1025.6,1027.9,1024.1,,,,,,,,0,,-6.4,59,
110,김포공항,2020-03-06,3.1,9,13,1556,1550,300,290,10,9.7,-5.7,1548,632,1022.9,1025.4,1020.1,,,,,,,,2,20000,-4.7,65,{박무}600-950.
110,김포공항,2020-03-07,3.5,10,14,1513,1458,290,290,5,13.9,-1.1,1426,326,1018.4,1020.5,1016.2,,,,,,,,5.5,10000,-3,61,{박무}700-1000. {연무}1000-1300. {연무}2200-2400.
110,김포공항,2020-03-08,3.1,10,14,1620,1619,280,280,10,16.5,-2.3,1411,632,1019,1021.2,1017.2,,,,,,,,0.5,20000,-0.4,66,{연무}0-100. {박무}100-1000. {연무}1000-1300. {연무}1400-2400. {박무}2400-2400.
110,김포공항,2020-03-09,3.7,13,17,1539,1549,340,330,10,17.4,0.2,1330,616,1014.7,1018.7,1010.8,,,,,,,,5,7000,-0.1,58,{박무}0-900. {연무}900-1200. {연무}2300-2400.
110,김포공항,2020-03-10,7.7,13,18,1532,1528,330,330,61,9.7,2.6,35,2351,1008.4,1012.2,1005.7,4.6,,,,,,,6.3,2000,3.9,84,{연무}0-200. {비}12-1243. {박무}200-1243. {비}1520-1548. {비}1623-1811. {박무}1740-2100.
110,김포공항,2020-03-11,8,14,21,908,1406,320,270,,8.3,-0.1,1445,502,1018.2,1022.6,1012.2,,,,,,,,0,,-5.6,52,
110,김포공항,2020-03-12,8,17,30,1557,1717,230,230,,13.8,-1.8,1513,338,1021.6,1023,1018.9,,,,,,,,2.7,2000,-1.5,62,
110,김포공항,2020-03-13,9.7,15,20,1517,803,350,330,60,8.9,-1.3,1424,2350,1022.3,1024.9,1020.8,0,,,,,,,4.8,2000,-6.6,48,{박무}100-300. {비}109-300.
110,김포공항,2020-03-14,6.9,18,27,1717,1708,270,270,10,9.6,-4.9,1350,701,1016.3,1022,1012.1,,,,,,,,1.4,4000,-4,60,{연무}2000-2200. {박무}2200-2400.
110,김포공항,2020-03-15,10.8,23,37,1522,1539,290,290,10,10.4,-0.1,1242,2252,1012,1018.4,1009,,,,,,,,3,3000,-4.9,56,{박무}0-700.
110,김포공항,2020-03-16,6.2,13,19,1419,1245,230,240,,9.1,-4.6,1213,603,1022.3,1025,1018.4,,,,,,,,0.4,,-5.9,55,
110,김포공항,2020-03-17,7.5,14,23,1558,1355,220,240,10,12.9,1.7,1431,2335,1015.7,1020.8,1012.6,,,,,,,,4.2,1300,2.5,76,{연무}1300-2100. {박무}2100-2400.
110,김포공항,2020-03-18,6.1,12,21,1440,1143,230,210,41,17.2,-1,1605,439,1013.4,1017.2,1008.2,,,,,,,,0.7,500,-0.8,58,{박무}0-413. {안개 또는 어는안개 또는 빙무}413-446. {박무}446-951. {연무}951-1200.
110,김포공항,2020-03-19,15.7,28,42,1544,1523,260,260,10,11.9,5.6,728,2348,1006.2,1013.1,1001,0,,,,,,,2.2,2000,1.7,61,{연무}200-400. {박무}400-1000. {연무}1000-1100. {비}1343-1400.
110,김포공항,2020-03-20,8.1,19,29,1619,1611,230,220,,14.5,-0.6,1437,602,1014,1015.5,1012.2,,,,,,,,1.1,,-2.1,52,
110,김포공항,2020-03-21,5.5,11,22,1655,1251,290,200,10,19.2,4.5,1511,153,1011.8,1014.2,1008.7,,,,,,,,5.8,2000,5.8,68,{박무}2200-2400.
110,김포공항,2020-03-22,9.5,16,26,1355,1341,330,320,42,17.4,3.3,1348,439,1014.7,1018.2,1012.1,,,,,,,,1.2,100,-2.1,50,{박무}0-312. {안개 또는 어는안개 또는 빙무}312-400. {안개 또는 어는안개 또는 빙무}{8}400-405. {안개 또는 어는안개 또는 빙무}{4}405-429. {안개 또는 어는안개 또는 빙무}{6}429-440. {안개 또는 어는안개 또는 빙무}440-450. {박무}450-500.
110,김포공항,2020-03-23,4.4,13,19,1721,1721,270,260,10,17.3,0.6,1406,543,1017.6,1018.9,1015.4,,,,,,,,0,,0.3,57,{박무}2300-2400.
110,김포공항,2020-03-24,3.5,10,21,1551,1307,280,280,10,18.1,0.7,1457,623,1020.5,1022.4,1018.7,,,,,,,,0,,-0.1,56,{박무}0-200. {박무}500-800. {연무}900-1100.
110,김포공항,2020-03-25,4.5,12,18,1612,1240,290,220,10,18.6,1.9,1245,623,1020.4,1022.5,1018.7,,,,,,,,3.4,20000,1.5,58,{박무}2400-2400.
110,김포공항,2020-03-26,4.1,10,17,1130,1754,120,160,61,21.5,3.6,1354,628,1015.5,1019.3,1011.9,2.1,,,,,,,6.1,2500,7.4,71,{박무}0-700. {연무}829-1000. {비}1825-1900. {비}2010-2100. {박무}2100-2400. {비}2124-2400.
110,김포공항,2020-03-27,9.9,17,24,1900,1901,320,330,61,17.6,6.1,1424,2232,1013.5,1021,1010.2,0.5,,,,,,,4,800,3.7,62,{비}0-100. {박무}0-100. {비}{9}100-130. {안개 또는 어는안개 또는 빙무}{9}100-130. {비}{8}130-200. {안개 또는 어는안개 또는 빙무}{8}130-200. {비}{9}200-237. {안개 또는 어는안개 또는 빙무}{9}200-237. {비}237-532. {박무}237-1100.
110,김포공항,2020-03-28,9.6,16,22,28,25,320,320,,12.8,2.4,1410,2338,1021.7,1024.3,1019.1,,,,,,,,3.6,20000,-10.7,29,
110,김포공항,2020-03-29,4.7,13,19,1557,1550,280,280,,15.7,-2.2,1406,620,1021.8,1024.4,1019.5,,,,,,,,1.3,,-3.1,51,
110,김포공항,2020-03-30,3.9,11,16,1630,1320,300,170,10,16,-0.3,1250,630,1020.9,1022.6,1018.8,,,,,,,,0.8,25000,-0.6,61,{박무}500-800.
110,김포공항,2020-03-31,4.3,10,15,1322,1247,290,310,,18.1,0.5,1435,451,1018,1021.2,1014.9,,,,,,,,4,15000,0.3,58,
110,김포공항,2020-04-01,9,20,30,1438,1445,260,260,5,18.3,3.3,1312,2344,1015.1,1020.5,1012.4,,,,,,,,3.5,17000,-1.3,45,{연무}1300-1400.
110,김포공항,2020-04-02,5,14,19,1548,1534,230,230,,15.3,-0.1,1259,620,1022.3,1023.7,1020.4,,,,,,,,1.8,17000,-0.6,59,
110,김포공항,2020-04-03,5.8,13,20,1408,1731,280,270,10,16.5,1.2,1425,226,1021.4,1023.7,1018.9,,,,,,,,0.3,1500,2,67,{박무}400-1000. {연무}1000-1300. {박무}2300-2400.
110,김포공항,2020-04-04,11,20,30,1701,1713,310,340,10,14.2,4.8,1417,2338,1019.3,1022.7,1017.2,,,,,,,,0.1,,-5.7,44,{박무}0-833. {연무}833-1000.
110,김포공항,2020-04-05,6,13,19,1631,1630,240,260,,13.8,0.6,1453,349,1022.7,1024.2,1020.7,,,,,,,,0,,-7.8,39,
110,김포공항,2020-04-06,4.9,15,22,1556,1551,280,290,,15.7,-1.6,1330,542,1021,1023.2,1018.3,,,,,,,,2.8,20000,-2.2,52,
110,김포공항,2020-04-07,5.9,13,22,1617,1114,230,240,10,16.6,2.3,1317,345,1016.1,1019.5,1013.7,,,,,,,,2.3,900,3.9,69,{박무}500-1000. {연무}1000-1300.
110,김포공항,2020-04-08,8.4,17,28,944,1407,340,290,,15.4,1.4,1452,451,1018.4,1021.6,1015.9,,,,,,,,0,,-6.8,36,
110,김포공항,2020-04-09,7.1,16,21,1605,1421,280,290,,15,0.6,1342,519,1022.2,1024.7,1020.8,,,,,,,,2,17000,-1.4,53,
110,김포공항,2020-04-10,5.2,14,20,1548,1540,290,290,10,16.8,2.8,1306,541,1024.7,1026.5,1022.9,,,,,,,,4.2,4500,2.3,64,{박무}600-742.
110,김포공항,2020-04-11,5.4,13,19,1613,1247,220,250,10,15.8,2.6,1456,450,1020.1,1024.2,1016.5,,,,,,,,4.1,19000,3.3,71,{박무}600-900.
110,김포공항,2020-04-12,8.8,19,30,1419,1431,40,40,10,17,2.7,1112,605,1014.9,1016.5,1013.3,,,,,,,,2,8000,2,62,{박무}100-900. {연무}900-1000.
110,김포공항,2020-04-13,6.4,16,25,1424,1408,360,340,,21.5,1.2,1602,417,1014.4,1015.9,1012.2,,,,,,,,2,18000,-1.2,50,
110,김포공항,2020-04-14,5.6,12,18,1421,1423,280,270,10,19.4,3,1327,524,1016.8,1018.4,1015.4,,,,,,,,1,,1.3,57,{박무}400-900. {연무}900-1100.
110,김포공항,2020-04-15,4.1,13,19,1557,1414,280,290,10,20,2.7,1326,533,1015.2,1017.2,1013.2,,,,,,,,4.1,20000,1.9,58,{박무}100-822. {연무}822-1400. {박무}2300-2400.
110,김포공항,2020-04-16,5,15,21,1646,1446,300,230,10,23.1,4.2,1409,430,1016.4,1018.7,1013.9,,,,,,,,2.8,15000,3.7,56,{박무}0-738.
110,김포공항,2020-04-17,7.7,20,28,1023,1018,140,140,10,14.8,9.8,449,1948,1012.7,1016.5,1010.5,2,0.9,1247,0.9,0.8,,,7.6,500,9.2,83,{비}200-218. {비}417-500. {비}525-934. {박무}600-700. {박무}832-900. {비}1136-1300. {박무}1335-1400. {비}1335-1403. {비}1600-1610. {박무}1600-2400.
110,김포공항,2020-04-18,5.4,14,19,1621,1550,270,300,10,19.4,6.3,1519,540,1016.2,1019.3,1012,,,,,,,,2.4,500,7.9,75,{박무}0-700.
110,김포공항,2020-04-19,5.7,13,18,1141,823,110,100,61,16.4,8.5,1120,254,1014.7,1018.7,1010.4,7.3,2.9,1548,2,1.1,,,7.5,2500,8.3,81,{박무}100-800. {비}1413-2152. {연무}1500-1600. {박무}1600-2152. {비}2200-2253.
110,김포공항,2020-04-20,8.4,19,29,1704,1659,270,270,60,14,7.5,1030,2117,1011,1014.1,1009.3,0,0,,0,0,,,5.9,2000,6.3,76,{비}1228-1346. {박무}1300-1600.
110,김포공항,2020-04-21,12.9,26,42,1532,1428,270,270,,11.6,3.5,1152,602,1014.5,1017.4,1012.7,,,,,,,,3,9000,-2.7,50,
110,김포공항,2020-04-22,11.6,20,35,1254,1403,270,270,,10.2,3.9,1511,606,1016.6,1018.2,1015.4,0,0,,0,0,,,3.3,4500,-4.1,46,{황사 또는 공중먼지}800-1442. {비}1405-1442.
110,김포공항,2020-04-23,11.3,21,32,1615,1625,270,280,,13.9,3.4,1314,331,1016.2,1018.1,1013.9,,,,,,,,0.7,,-1.8,51,
110,김포공항,2020-04-24,10,24,37,1409,1404,220,220,,15.2,0.3,1446,535,1013.6,1016.6,1011.6,,,,,,,,1.1,20000,2.6,63,
110,김포공항,2020-04-25,9.9,22,35,1039,928,220,210,,17.3,8.8,1203,229,1009.6,1013.8,1007.6,,,,,,,,3.1,17000,5.4,59,
110,김포공항,2020-04-26,7.7,18,28,1656,1445,280,350,,19.6,2.3,1450,536,1017.3,1020.1,1013.9,,,,,,,,1,,0.4,52,
110,김포공항,2020-04-27,6.3,17,24,1559,1559,280,290,,18.7,5.1,1423,557,1019.8,1021.2,1018.4,,,,,,,,2.1,3000,3.2,58,
110,김포공항,2020-04-28,6.4,14,29,1415,1219,250,230,10,19.4,2.9,1255,539,1019.9,1022.2,1017.7,,,,,,,,0,,4.6,62,{박무}2200-2400.
110,김포공항,2020-04-29,6.7,12,26,1259,1423,260,230,10,20.8,7.9,1241,2315,1019.4,1021.1,1018.2,,,,,,,,0,,3.8,55,{박무}0-800.
110,김포공항,2020-04-30,6.9,12,27,1151,1159,230,200,10,22.7,6.2,1346,254,1016,1018.8,1012.8,,,,,,,,3.1,1900,8.9,64,{박무}2200-2300. {박무}2400-2400.
110,김포공항,2020-05-01,7.3,12,27,46,1318,210,220,10,25.5,17,1413,128,1013.2,1014.5,1011.2,,,,,,,,5.9,800,15.8,80,{박무}0-100. {박무}500-1200. {연무}1200-1300. {박무}1800-2400.
