ISSUE_HW_DAY_2019-05_2019-05_2021
일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2019-05-01,고흥(262),X,22.3,22.5,15.9,11.2,69,X, ,X,낮음
2019-05-01,의령군(263),X,25.5,26,17.5,12,66.3,X, ,X,낮음
2019-05-01,함양군(264),X,23.3,23.4,16.6,10.5,68.1,X, ,X,낮음
2019-05-01,진도군ASOS(268),X,18.3,16.3,12.3,9.5,82.9,X, ,X,낮음
2019-05-01,봉화(271),X,21.4,22.6,14.8,8.7,66.3,X, ,X,낮음
2019-05-01,영주(272),X,20.8,21.6,15.9,9.5,62,X, ,X,낮음
2019-05-01,문경(273),X,22.1,23.1,17.2,10.3,53.9,X, ,X,낮음
2019-05-01,청송군(276),X,22.7,22.7,14.2,8.7,80.1,X, ,X,낮음
2019-05-01,영덕(277),X,24.2,25,16.3,10.9,79.5,X, ,X,낮음
2019-05-01,의성(278),X,23.3,25.1,15.6,9.6,69,X, ,X,낮음
2019-05-01,구미(279),X,23.6,24.1,17.5,12.1,62,X, ,X,낮음
2019-05-01,영천(281),X,23,24.7,16.5,10.1,,X, ,X,낮음
2019-05-01,경주시(283),X,23.8,24.1,16.5,11.2,71.9,X, ,X,낮음
2019-05-01,거창(284),X,22.4,23.1,16,10.2,66.9,X, ,X,낮음
2019-05-01,합천(285),X,23.7,25.1,17.2,11.7,61.8,X, ,X,낮음
2019-05-01,밀양(288),X,22.9,24.5,16.7,11.1,62.9,X, ,X,낮음
2019-05-01,산청(289),X,23.1,23.9,17.5,12.7,60.9,X, ,X,낮음
2019-05-01,거제(294),X,23.6,22.2,16.7,12.4,81.3,X, ,X,낮음
2019-05-01,남해(295),X,23.8,23.9,17.3,12.3,68.8,X, ,X,낮음
2019-05-01,부천(433),X,,20.5,15.7,11.1,,X, ,X,낮음
2019-05-01,안양(434),X,,19,14.6,9.9,62,X, ,X,낮음
2019-05-01,광명(437),X,,21.4,16.1,11.7,,X, ,X,낮음
2019-05-01,군포(438),X,,21.3,15.6,10.5,,X, ,X,낮음
2019-05-01,김포(441),X,,20.4,15,8.5,,X, ,X,낮음
2019-05-01,하남(444),X,,,15.1,,,X, ,X,낮음
2019-05-01,의왕(445),X,,19.7,12.7,7.2,,X, ,X,낮음
2019-05-01,포천(504),X,22.5,24.8,16.5,8.3,51,X, ,X,낮음
2019-05-01,가평조종(505),X,,23.6,15.6,6.8,,X, ,X,낮음
2019-05-01,안성(516),X,21.6,21.2,14.7,7.7,66,X, ,X,낮음
2019-05-01,간성(517),X,21.3,21.1,15.1,8.5,75,X, ,X,낮음
2019-05-01,평창(526),X,20.7,22,14.4,6.7,63,X, ,X,낮음
2019-05-01,의정부(532),X,23.1,23.6,15.8,8.5,63,X, ,X,낮음
2019-05-01,횡성(536),X,24,25.1,15.3,7,71,X, ,X,낮음
2019-05-01,고양(540),X,24.1,24.3,16,8.4,58,X, ,X,낮음
2019-05-01,남양주(541),X,23.5,24.6,15.9,8.9,63,X, ,X,낮음
2019-05-01,안산(545),X,20.5,19.6,12.3,6.6,81,X, ,X,낮음
2019-05-01,경기광주(546),X,21.8,23,15,8.2,59,X, ,X,낮음
2019-05-01,여주(548),X,22.7,24,15.5,8.1,60,X, ,X,낮음
2019-05-01,용인(549),X,21.2,21.6,13.9,7.5,65,X, ,X,낮음
2019-05-01,오산(550),X,21,21.6,14.2,8.5,55,X, ,X,낮음
2019-05-01,평택(551),X,21.2,21,14.7,8.5,63,X, ,X,낮음
2019-05-01,화천(555),X,23.3,25.9,16.4,7.6,59,X, ,X,낮음
2019-05-01,양구(556),X,22.4,24.8,16,6.8,56,X, ,X,낮음
2019-05-01,시흥(565),X,20,19.3,13.2,8.8,74,X, ,X,낮음
2019-05-01,구리(569),X,23,23.8,16.1,9.4,56,X, ,X,낮음
2019-05-01,화성(571),X,19.8,19.4,13.3,8.5,65,X, ,X,낮음
2019-05-01,성남(572),X,22,22.8,15.4,8.9,62,X, ,X,높음
2019-05-01,과천(590),X,22,22.8,14.9,7.8,55,X, ,X,낮음
2019-05-01,양주(598),X,22.5,23.3,15.7,8.1,57,X, ,X,낮음
2019-05-01,단양(601),X,22.7,22.9,16.2,9.7,69,X, ,X,낮음
2019-05-01,진천(602),X,21.1,22.2,15.2,8,50,X, ,X,낮음
2019-05-01,괴산(603),X,21.7,22.8,14.5,6.9,62,X, ,X,낮음
2019-05-01,옥천(604),X,22.9,22.7,15.4,8.8,73,X, ,X,낮음
2019-05-01,홍북(608),X,23.8,23.5,13.4,7,79,X, ,X,낮음
2019-05-01,공주(612),X,22.3,23.6,14.8,7.7,66,X, ,X,낮음
2019-05-01,서천(614),X,18,16.2,11.8,7.7,85,X, ,X,낮음
2019-05-01,논산(615),X,22.4,21.3,14.1,8.8,80,X, ,X,낮음
2019-05-01,당진(616),X,20.9,20.7,13.6,8.5,66,X, ,X,낮음
2019-05-01,청양(618),X,21.7,21.3,12.1,5.6,79,X, ,X,낮음
2019-05-01,음성(619),X,22,22.5,14.5,7.4,64,X, ,X,낮음
2019-05-01,증평(623),X,21.6,22.5,14.9,7.8,66,X, ,X,낮음
2019-05-01,태안(627),X,20.4,19.4,12.4,8.3,75,X, ,X,낮음
2019-05-01,예산(628),X,21.9,22.5,14.6,8.7,70,X, ,X,낮음
2019-05-01,아산(634),X,20.9,21.7,13.7,7.9,64,X, ,X,낮음
2019-05-01,계룡(636),X,21.8,22.6,13.2,6.2,73,X, ,X,낮음
2019-05-01,연천청산(652),X,22.6,24.3,16.1,8.1,55,X, ,X,낮음
2019-05-01,양양(670),X,23.9,23,15.9,8,77,X, ,X,낮음
2019-05-01,무안(699),X,18.9,17,11.7,8.5,89,X, ,X,낮음
2019-05-01,무주(701),X,22.6,22.7,15.1,8.3,77,X, ,X,낮음
2019-05-01,익산(702),X,21.5,19.9,12.9,8.1,87,X, ,X,낮음
2019-05-01,진안(703),X,20.2,19.4,12.5,6.6,83,X, ,X,낮음
2019-05-01,담양(706),X,23.4,22.4,13.7,7.3,84,X, ,X,낮음
2019-05-01,구례(709),X,22.4,22.9,16.3,9.5,57,X, ,X,낮음
2019-05-01,나주(710),X,23.5,22.2,13.3,7.9,83,X, ,X,낮음
2019-05-01,순천시(712),X,23.9,24.2,18.2,13.1,61,X, ,X,낮음
2019-05-01,광양읍(713),X,24.2,24.9,18,12.3,59,X, ,X,낮음
2019-05-01,장성(730),X,21.4,20.7,13.2,7.9,78,X, ,X,낮음
2019-05-01,영암(731),X,20.8,19.3,12.8,8.2,84,X, ,X,낮음
2019-05-01,보성(732),X,21.9,21.3,14.7,9.8,73,X, ,X,낮음
2019-05-01,완주(734),X,20.6,20,12.8,7.5,80,X, ,X,낮음
2019-05-01,김제(737),X,19,17.1,12,9.5,85,X, ,X,낮음
2019-05-01,화순(741),X,21.2,21.5,14.4,9.3,69,X, ,X,낮음
2019-05-01,함평(754),X,20.3,18.7,12.8,9.3,84,X, ,X,낮음
2019-05-01,곡성(768),X,21.8,22.1,15,8.8,65,X, ,X,낮음
2019-05-01,압해도(789),X,18.5,15.8,12.6,10.2,89,X, ,X,낮음
2019-05-01,영양(801),X,22.6,23,14.9,9.3,71,X, ,X,낮음
2019-05-01,성주(810),X,21.9,23.5,16.6,10.5,54,X, ,X,낮음
2019-05-01,고령(812),X,23.5,24.4,15.9,9.9,74,X, ,X,낮음
2019-05-01,청도(813),X,22.3,24.5,15.6,9.6,66,X, ,X,낮음
2019-05-01,예천(815),X,22.6,22.9,15.9,9.1,74,X, ,X,낮음
2019-05-01,김천(822),X,22.4,22.6,15.5,9.1,66,X, ,X,낮음
2019-05-01,군위(823),X,23.4,23.7,15.3,8.9,72,X, ,X,낮음
2019-05-01,칠곡(825),X,23.6,24.8,17.5,10.7,54,X, ,X,낮음
2019-05-01,경산(827),X,22.9,24.3,17,10.1,58,X, ,X,낮음
2019-05-01,삼척(876),X,21.3,20.9,15.4,10.3,74,X, ,X,낮음
2019-05-01,속초(90),X,21.6,21.2,15.5,10.1,73,X, ,X,낮음
2019-05-01,삼천포(907),X,22.3,20.9,16.7,13.3,73,X, ,X,낮음
2019-05-01,고성(918),X,22.5,21,16.2,11.9,79,X, ,X,낮음
2019-05-01,창녕(919),X,24.3,25.2,16.1,10.3,69,X, ,X,낮음
2019-05-01,함안(920),X,24.6,25.1,16.2,10.8,76,X, ,X,낮음
2019-05-01,북춘천(93),X,22,25.2,16.5,7.7,56.3,X, ,X,높음
2019-05-01,하동(932),X,24.4,24.4,17.4,11.9,67,X, ,X,낮음
2019-05-01,철원(95),X,21.9,23.6,15.9,8.8,59.8,X, ,X,낮음
2019-05-01,동두천(98),X,23.5,25.4,16.6,9.1,55.3,X, ,X,낮음
2019-05-01,파주(99),X,22.9,23,15.6,8.5,60.4,X, ,X,낮음
2019-05-02,북강릉(104),X,22.3,25.8,18,9.4,42.6,X, ,X,매우높음
2019-05-02,동해(106),X,20.7,22,16.4,9.6,61.9,X, ,X,낮음
2019-05-02,서울(108),X,22.2,25.3,17.1,10.6,28.5,X, ,X,높음
2019-05-02,인천(112),X,20.1,22,16,12.6,39,X, ,X,높음
2019-05-02,원주(114),X,21,24.3,16.6,9.2,43,X, ,X,낮음
2019-05-02,울릉도(115),X,20.5,19.1,15.6,10.7,53.6,X, ,X,낮음
2019-05-02,수원(119),X,22.4,25.3,15,7.2,55.1,X, ,X,낮음
2019-05-02,영월(121),X,21.1,23.5,16,7.9,49.5,X, ,X,낮음
2019-05-02,충주(127),X,21.8,24.1,15.2,6.4,49.9,X, ,X,낮음
2019-05-02,서산(129),X,21.7,24.7,14.2,5.2,54.9,X, ,X,매우높음
2019-05-02,울진(130),X,22.2,20.5,15.5,10.7,76.4,X, ,X,낮음
2019-05-02,청주(131),X,22,24.8,16.7,9.5,48.3,X, ,X,높음
2019-05-02,대전(133),X,23.2,25,15.9,8.9,57.8,X, ,X,매우높음
2019-05-02,추풍령(135),X,20.6,22.5,15.7,8,44,X, ,X,낮음
2019-05-02,안동(136),X,22,24.2,16.6,8.8,50.3,X, ,X,매우높음
2019-05-02,상주(137),X,22.7,24.5,17.8,10.9,44.3,X, ,X,낮음
2019-05-02,포항(138),X,23.7,26.2,19.2,13.1,51.3,X, ,X,낮음
2019-05-02,군산(140),X,19.6,19,12.6,6.9,77.6,X, ,X,낮음
2019-05-02,대구(143),X,23.1,26.3,19,10.5,39.4,X, ,X,매우높음
2019-05-02,전주(146),X,21.8,22.4,14.4,7.5,64.4,X, ,X,매우높음
2019-05-02,울산(152),X,23.1,22.5,17.2,12.9,66.3,X, ,X,매우높음
2019-05-02,창원(155),X,22,22.4,17.1,12.3,48.9,X, ,X,높음
2019-05-02,광주(156),X,22,24.1,15.4,8.1,56,X, ,X,매우높음
2019-05-02,부산(159),X,21.4,21.7,17.6,14.8,54.8,X, ,X,매우높음
2019-05-02,통영(162),X,20.4,20.3,16,11.1,62.6,X, ,X,낮음
2019-05-02,목포(165),X,19.3,19.4,14.1,9.9,62.6,X, ,X,매우높음
2019-05-02,여수(168),X,22.8,25.2,18.6,11.9,41.5,X, ,X,낮음
2019-05-02,흑산도(169),X,19,18.4,14.7,10.6,60.1,X, ,X,낮음
2019-05-02,완도(170),X,22.3,23.4,16.8,9,45.8,X, ,X,낮음
2019-05-02,고창(172),X,19.9,21.3,12.5,4.2,65.6,X, ,X,낮음
2019-05-02,제주(184),X,21.7,21.5,17.2,12.8,40.9,X, ,X,매우높음
2019-05-02,진주(192),X,23.6,25.1,16,6.4,59,X, ,X,낮음
2019-05-02,양평(202),X,22.2,26.2,16.2,7.6,46.9,X, ,X,낮음
2019-05-02,이천(203),X,22.2,26.1,16.2,6.8,42.1,X, ,X,낮음
2019-05-02,인제(211),X,21.1,24.7,16,6.6,45.3,X, ,X,낮음
2019-05-02,홍천(212),X,22.4,26.2,16.7,7.7,47.9,X, ,X,낮음
2019-05-02,태백(216),X,19.9,21.6,15,6.3,49,X, ,X,낮음
2019-05-02,정선군(217),X,21,23.6,15.5,7.7,47.9,X, ,X,낮음
2019-05-02,제천(221),X,21.1,23.8,14.9,5.3,46.9,X, ,X,낮음
2019-05-02,보은(226),X,22.1,24.3,14.5,5.7,59.6,X, ,X,낮음
2019-05-02,천안(232),X,20.2,23,14,4.7,49.8,X, ,X,낮음
2019-05-02,보령(235),X,19.4,20.2,12.1,6.1,68.6,X, ,X,낮음
2019-05-02,부여(236),X,23.1,24.1,14.5,8.7,62.1,X, ,X,낮음
2019-05-02,금산(238),X,21.2,23,13.6,5.2,59.8,X, ,X,낮음
2019-05-02,세종(239),X,,,,,,X, ,X,매우높음
2019-05-02,부안(243),X,19.6,20.7,13.5,6.8,62.6,X, ,X,낮음
2019-05-02,임실(244),X,20.5,22.8,12.7,4.9,61.1,X, ,X,낮음
2019-05-02,정읍(245),X,20,21.3,13.1,5.4,67.8,X, ,X,낮음
2019-05-02,남원(247),X,21.2,23.5,14,6.5,60.6,X, ,X,낮음
2019-05-02,장수(248),X,20.2,22.2,12.5,3.2,57.8,X, ,X,낮음
2019-05-02,영광군(252),X,19.8,20.7,12.4,3.9,66.5,X, ,X,낮음
2019-05-02,김해시(253),X,23.5,24.1,18,12.8,59.8,X, ,X,낮음
2019-05-02,순창군(254),X,21.1,23.4,13,4.6,65.8,X, ,X,낮음
2019-05-02,양산시(257),X,23.6,23.9,16.7,9.8,65,X, ,X,낮음
2019-05-02,강진군(259),X,21.6,23.2,14.8,6.2,55.9,X, ,X,낮음
2019-05-02,장흥(260),X,22.2,23.7,14.1,5.2,61.1,X, ,X,낮음
2019-05-02,해남(261),X,21,21.9,12.4,3.5,66.8,X, ,X,낮음
2019-05-02,고흥(262),X,22.3,24.4,15.7,7.5,50.9,X, ,X,낮음
2019-05-02,의령군(263),X,25.7,27.3,16.8,6.8,53.5,X, ,X,낮음
2019-05-02,함양군(264),X,22.6,24.4,15.7,5.4,56.9,X, ,X,낮음
2019-05-02,진도군ASOS(268),X,20.3,20.1,13.2,6.8,66.3,X, ,X,낮음
2019-05-02,봉화(271),X,21.9,24.4,14.5,6.2,56.3,X, ,X,낮음
2019-05-02,영주(272),X,20.4,22.9,16.3,7.8,44.4,X, ,X,낮음
2019-05-02,문경(273),X,22.4,24.4,17.1,9.2,42.4,X, ,X,낮음
2019-05-02,청송군(276),X,22.4,23.6,15.1,5.9,63.4,X, ,X,낮음
2019-05-02,영덕(277),X,23.6,24.8,17.4,9.8,58.6,X, ,X,낮음
2019-05-02,의성(278),X,22.7,25.5,15.5,6.2,55,X, ,X,낮음
2019-05-02,구미(279),X,22.9,25,18.6,11.5,42.5,X, ,X,낮음
2019-05-02,영천(281),X,22.9,26.4,17.2,7.8,47.1,X, ,X,낮음
2019-05-02,경주시(283),X,24.1,25.8,16.8,8.3,62,X, ,X,낮음
2019-05-02,거창(284),X,22.8,24.9,15.5,5.5,52.9,X, ,X,낮음
2019-05-02,합천(285),X,23.7,26.8,17.2,7.2,48,X, ,X,낮음
2019-05-02,밀양(288),X,23.3,26.2,16.9,7.9,53.6,X, ,X,낮음
2019-05-02,산청(289),X,22.8,25.2,17.3,6.8,44.9,X, ,X,낮음
2019-05-02,거제(294),X,22.7,23.1,16.8,10.5,57.1,X, ,X,낮음
2019-05-02,남해(295),X,23.6,25.6,17.9,8.5,46.1,X, ,X,낮음
2019-05-02,부천(433),X,,24.7,16.5,10,,X, ,X,낮음
2019-05-02,안양(434),X,,22.7,15.9,10,38,X, ,X,낮음
2019-05-02,광명(437),X,,25.4,17.5,11.5,,X, ,X,낮음
2019-05-02,군포(438),X,,24.8,16.7,10.8,,X, ,X,낮음
2019-05-02,김포(441),X,,24.3,14.4,7.1,,X, ,X,낮음
2019-05-02,하남(444),X,,,15.5,,,X, ,X,낮음
2019-05-02,의왕(445),X,,23,13.6,5.8,,X, ,X,낮음
2019-05-02,포천(504),X,22.3,26.2,15.6,5.7,40,X, ,X,낮음
2019-05-02,가평조종(505),X,,25.6,15,4.9,,X, ,X,낮음
2019-05-02,안성(516),X,22,24.3,14.9,6.7,58,X, ,X,낮음
2019-05-02,간성(517),X,23.4,26.9,18.2,8.9,48,X, ,X,낮음
2019-05-02,평창(526),X,20.7,23.3,14.7,6.3,52,X, ,X,낮음
2019-05-02,의정부(532),X,23.4,26.3,16.1,7.9,40,X, ,X,낮음
2019-05-02,횡성(536),X,23.5,26.2,15.5,6,58,X, ,X,낮음
2019-05-02,고양(540),X,24.5,27.6,15.5,6.3,43,X, ,X,낮음
2019-05-02,남양주(541),X,23.3,26.9,15.9,7.2,42,X, ,X,낮음
2019-05-02,안산(545),X,22.2,24,13.6,4.5,62,X, ,X,낮음
2019-05-02,경기광주(546),X,21.4,24.9,15,6.8,44,X, ,X,낮음
2019-05-02,여주(548),X,22.7,25.9,15.8,7.2,47,X, ,X,낮음
2019-05-02,용인(549),X,21.2,24.3,14.4,6.5,50,X, ,X,낮음
2019-05-02,오산(550),X,21.8,25.1,15,7.3,44,X, ,X,낮음
2019-05-02,평택(551),X,21.9,24.1,15.2,7.5,53,X, ,X,낮음
2019-05-02,화천(555),X,22.8,26.8,15.9,5,49,X, ,X,낮음
2019-05-02,양구(556),X,21.9,25.6,16,5.5,46,X, ,X,낮음
2019-05-02,시흥(565),X,21.8,25,15,6.1,47,X, ,X,낮음
2019-05-02,구리(569),X,23,26.2,16.4,8.1,42,X, ,X,낮음
2019-05-02,화성(571),X,21.9,25.4,14.9,7.4,44,X, ,X,낮음
2019-05-02,성남(572),X,22.2,25.2,16.1,7.4,43,X, ,X,매우높음
2019-05-02,과천(590),X,22,25.7,15.5,6.6,36,X, ,X,낮음
2019-05-02,양주(598),X,22.5,25.9,15.3,5.2,42,X, ,X,낮음
2019-05-02,단양(601),X,22.4,24.2,16.5,8.6,53,X, ,X,낮음
2019-05-02,진천(602),X,21.6,24.5,15.2,6.2,44,X, ,X,낮음
2019-05-02,괴산(603),X,21.5,24.2,14.3,5.2,54,X, ,X,낮음
2019-05-02,옥천(604),X,22.7,24,14.7,5.9,66,X, ,X,낮음
2019-05-02,홍북(608),X,24.5,27,14.2,4.6,63,X, ,X,낮음
2019-05-02,공주(612),X,22.1,25.4,15.4,8.8,54,X, ,X,낮음
2019-05-02,서천(614),X,19.9,19.6,12.6,7,78,X, ,X,낮음
2019-05-02,논산(615),X,23,23.5,13.7,5.9,70,X, ,X,낮음
2019-05-02,당진(616),X,21,23.9,15.2,8.3,48,X, ,X,낮음
2019-05-02,청양(618),X,21.5,22.8,12,5,67,X, ,X,낮음
2019-05-02,음성(619),X,21.9,24.2,14.6,5.1,55,X, ,X,낮음
2019-05-02,증평(623),X,21.9,24.3,15.4,7.6,58,X, ,X,낮음
2019-05-02,태안(627),X,21.1,23.2,14.8,8.1,55,X, ,X,낮음
2019-05-02,예산(628),X,21.6,24.7,15.6,7.6,48,X, ,X,낮음
2019-05-02,아산(634),X,21.3,24.6,15.4,7.2,46,X, ,X,낮음
2019-05-02,계룡(636),X,22.1,23.3,11.8,2.8,67,X, ,X,낮음
2019-05-02,연천청산(652),X,22.7,26.1,15.1,4.5,45,X, ,X,낮음
2019-05-02,양양(670),X,25.1,27.2,19.1,10,51,X, ,X,낮음
2019-05-02,무안(699),X,20.3,21.1,13.4,7.1,68,X, ,X,낮음
2019-05-02,무주(701),X,22,23.9,13.5,5.2,69,X, ,X,낮음
2019-05-02,익산(702),X,22.1,22.5,13.1,5.4,77,X, ,X,낮음
2019-05-02,진안(703),X,19.8,20.6,11.6,3.5,71,X, ,X,낮음
2019-05-02,담양(706),X,22.7,24.3,13.2,3.9,74,X, ,X,낮음
2019-05-02,구례(709),X,22.3,24.8,14.9,5.7,50,X, ,X,낮음
2019-05-02,나주(710),X,22.5,23.8,13.6,4.2,74,X, ,X,낮음
2019-05-02,순천시(712),X,23.7,26,18.3,11.4,44,X, ,X,낮음
2019-05-02,광양읍(713),X,23.8,26.2,17.7,7.3,45,X, ,X,낮음
2019-05-02,장성(730),X,21.2,22.8,13,4.8,66,X, ,X,낮음
2019-05-02,영암(731),X,21.4,22,13,4.9,70,X, ,X,낮음
2019-05-02,보성(732),X,21.4,23.5,13.8,4,58,X, ,X,낮음
2019-05-02,완주(734),X,21.7,22.5,12.8,4.9,69,X, ,X,낮음
2019-05-02,김제(737),X,20.1,20.5,13.4,7.7,69,X, ,X,낮음
2019-05-02,화순(741),X,21.3,24.1,14.2,5.9,52,X, ,X,낮음
2019-05-02,함평(754),X,22.3,22.4,13.4,6,73,X, ,X,낮음
2019-05-02,곡성(768),X,21.9,24.5,13.5,5.4,59,X, ,X,낮음
2019-05-02,압해도(789),X,19.6,18.3,14,9,76,X, ,X,낮음
2019-05-02,영양(801),X,21.9,23.7,14.8,7.5,63,X, ,X,낮음
2019-05-02,성주(810),X,22.6,25.6,16.7,7.6,44,X, ,X,낮음
2019-05-02,고령(812),X,24,26.7,15.6,6.2,60,X, ,X,낮음
2019-05-02,청도(813),X,22.5,26,15.9,6.7,53,X, ,X,낮음
2019-05-02,예천(815),X,22.6,24,15.9,7.2,59,X, ,X,낮음
2019-05-02,김천(822),X,22.8,24.4,15.1,4.9,58,X, ,X,낮음
2019-05-02,군위(823),X,23.6,24.9,15.7,6.8,58,X, ,X,낮음
2019-05-02,칠곡(825),X,23.6,26.4,18,8.9,43,X, ,X,낮음
2019-05-02,경산(827),X,23.2,26,18.1,9.5,45,X, ,X,낮음
2019-05-02,삼척(876),X,22.1,23.2,17.2,10.6,59,X, ,X,낮음
2019-05-02,속초(90),X,23.8,26.9,18.4,10.4,48,X, ,X,낮음
2019-05-02,삼천포(907),X,21.3,22.1,17,12.7,51,X, ,X,낮음
2019-05-02,고성(918),X,21.9,22.1,15.3,8.1,65,X, ,X,낮음
2019-05-02,창녕(919),X,24.6,27.2,16.6,7.5,56,X, ,X,낮음
2019-05-02,함안(920),X,24.3,26.6,16.3,6.7,60,X, ,X,낮음
2019-05-02,북춘천(93),X,21.9,26.6,16.2,6.2,43.6,X, ,X,높음
2019-05-02,하동(932),X,24.4,26.6,17.2,7.2,53,X, ,X,낮음
2019-05-02,철원(95),X,22.2,25.5,15.4,5.4,44.6,X, ,X,낮음
2019-05-02,동두천(98),X,24.3,27.6,16.7,7.4,37.6,X, ,X,낮음
2019-05-02,파주(99),X,22.8,25.8,15,4.8,47.4,X, ,X,낮음
2019-05-03,북강릉(104),X,20.6,20.4,15,11.1,64.8,X, ,X,매우높음
2019-05-03,동해(106),X,19.2,19.5,14.3,10.5,69.1,X, ,X,낮음
2019-05-03,서울(108),X,23.4,26.1,17.9,10.1,37.5,X, ,X,매우높음
